17:30:07,-4.653,2.889,0.535;0.023;-0.506,21.500
17:30:10,-4.806,3.032,0.530;0.022;-0.509,21.500
17:30:12,-4.689,2.812,0.542;0.017;-0.507,21.500
17:30:15,-4.862,2.928,0.542;0.016;-0.512,21.500
17:30:17,-4.770,2.932,0.533;0.019;-0.520,21.500
17:30:20,-4.829,2.788,0.538;0.029;-0.507,21.500
17:30:22,-5.068,2.860,0.535;0.034;-0.518,21.500
17:30:25,-4.931,2.875,0.538;0.023;-0.515,21.500
17:30:27,-4.726,2.883,0.549;0.010;-0.501,21.500
17:30:30,-4.871,2.720,0.544;0.030;-0.504,21.500
17:30:33,-4.803,2.854,0.532;0.005;-0.497,21.500
17:30:35,-4.822,2.829,0.546;0.003;-0.512,21.500
17:30:38,-4.920,2.796,0.515;0.011;-0.496,21.500
17:30:41,-4.797,2.896,0.542;0.033;-0.519,21.500
17:30:44,-4.938,3.000,0.527;-0.002;-0.509,21.500
17:30:47,-4.870,2.825,0.540;0.030;-0.531,21.500
17:30:50,-4.714,2.875,0.547;0.030;-0.510,21.500
17:30:54,-4.841,2.635,0.556;0.013;-0.530,21.500
